Date,Seminar Number,Content
2018-10-01,1,"Introduction, syllabus, teaching guidelines and responsibilities"
2018-10-08,2,Nine 3-minute presentations
2018-10-15,3,Nine 3-minute presentations
2018-10-22,4,Nine 3-minute presentations
2018-10-29,5,Grading scripts and autograders
2018-11-05,6,Six 5-minute presentations
2018-11-12,HOLIDAY,VETERANS DAY OBSERVED
2018-11-19,CANCELLED,CAMPUS CLOSURE
2018-11-26,9,Nine 3-minute presentations
2018-12-03,10,Nine 3-minute presentations
